Company Name,Rating,Average Salary,Role
Sonata Software,3.9,4L -9L,Data Scientist
Merck KGaA,4,7L -11L,Data Scientist
Xebia,3.9,7L -27L,Data Scientist
Tata Power Delhi Distribution,3.8,6L -17L,Data Scientist
Flipkart,4,$33T -$1L,Data Scientist
SysBasis Solutions,4.5,25T -27T,Data Scientist - Monthly
Upwork,4.1,1T -2T,Data Scientist - Hourly
Google,4.4,2L -13L,Data Scientist
IntellectFaces,3.9,39T -73T,Data Scientist - Monthly
Atos,3.7,6L -15L,Data Scientist
Precily,3.6,6L -8L,Data Scientist
Exponentia DataLabs,3.4,64T -1L,Data Scientist - Monthly
OneAssist Consumer Solutions,4.3,17L -26L,Data Scientist
Softsensor AI,4.2,40T -65T,Data Scientist - Monthly
TorcAI,4.1,14L -16L,Data Scientist
Tenzai,5,5L -7L,Data Scientist
Ong & Shan,3.9,10 -386,Data Scientist - Hourly
Excelra Knowledge Solutions,3.8,4L -6L,Data Scientist
Value3,4.3,9L -13L,Data Scientist
Encora,4.3,8L -19L,Data Scientist
Analytics India Magazine,4.4,6L -17L,Data Scientist
Bharat Heavy Electricals,4.1,18L -20L,Data Scientist
Birdeye,4.3,6L -44L,Data Scientist
SNV Business Business Solutions,5,2L -24L,Data Scientist
Fiserv,3.1,5L -13L,Data Scientist
Nivetti Systems,4.5,8L -9L,Data Scientist
Builder.ai,3.6,11L -27L,Data Scientist
Radius Global Solutions,3.2,56T -10L,Data Scientist - Monthly
Ankaha,4.1,8L -9L,Data Scientist
MoneyTap,3.2,31L -36L,Data Scientist
GenieTalk,4.1,59T -73T,Data Scientist - Monthly
Faurecia,3.7,8L -13L,Data Scientist
Decimal Point Analytics,4.3,57T -62T,Data Scientist - Monthly Intern
Kvantum,4,9L -14L,Data Scientist
Zeotap,4.1,16L -18L,Data Scientist
Siemens Healthineers,4.1,18L -22L,Data Scientist
ASDF Web Hosting,4.2,6L -22L,Data Scientist
Blenheim Chalcot,4,11L -11L,Data Scientist
XYZ (Turkey),3.9,6L -22L,Data Scientist
Zeotap,4.1,69T -88T,Data Scientist - Monthly Intern
Edelweiss Financial Services,3.7,10L -16L,Data Scientist
Capgemini Invent,4.1,10L -14L,Data Scientist
3i Infotech,3.6,33T -66T,Data Scientist - Monthly
WhiteHat Jr,3.7,24T -54T,Data Scientist - Monthly
Ambee (India),4.7,9L -29L,Data Scientist
Shiprocket,3.7,8L -13L,Data Scientist
Nabler Web Solutions,4,8L -9L,Data Scientist
Zoom Video Communications,3.9,30L -49L,Data Scientist
CronLabs Solutions,4.9,27T -33T,Data Scientist - Monthly
Cimpress,4.2,5L -13L,Data Scientist
KrazyBee,3.9,10L -16L,Data Scientist
SIRPI Visualize and Decide,4.2,3L -3L,Data Scientist
GlobalFoundries,3.4,72T -81T,Data Scientist - Monthly
Conneqt Business Solutions,3.5,12T -1L,Data Scientist - Monthly
Applied Materials,4.1,12L -17L,Data Scientist - Contractor
Mirafra Technologies,4.1,4L -10L,Data Scientist
Microsoft,4.3,$55T -$93T,Data Scientist
Northcorp Software,4.4,16T -45T,Data Scientist - Monthly
AppZen,3.9,11L -17L,Data Scientist
Procter & Gamble,4.1,21L -27L,Data Scientist
Falabella,4.1,7L -18L,Data Scientist
Meesho,3.5,16L -29L,Data Scientist
Kimberly-Clark,4.1,7L -16L,Data Scientist
G-Square Solutions,4.2,2L -3L,Data Scientist
TransUnion,3.9,20L -34L,Data Scientist
Pfizer,4.1,9L -10L,Data Scientist
Dun & Bradstreet,3.9,10T -22T,Data Scientist - Monthly Intern
neurIOT Technologies,4.2,12L -19L,Data Scientist
MindBowser Info Solutions,4.1,3L -3L,Data Scientist
Scaler Academy,4,13L -16L,Data Scientist
Atlan,4.6,17T -19T,Data Scientist - Monthly Intern
Neudesic,4.4,5L -11L,Data Scientist
LogiNext Solutions,5,4L -6L,Data Scientist
Moody's Analytics,3.9,14L -17L,Data Scientist
Collegedunia,3.6,16T -55T,Data Scientist - Monthly
Novigo Solutions,4.1,5L -9L,Data Scientist
Sezzle,3.9,6L -9L,Data Scientist
NTT Ltd.,3.9,76T -2L,Data Scientist - Monthly
TEOCO,3.3,36T -1L,Data Scientist - Monthly
Zupee,4,17L -28L,Data Scientist
Accolite Digital,3.8,6L -15L,Data Scientist
Lenovo,4,5L -6L,Data Scientist - Contractor
Toppr.com,3.7,34T -2L,Data Scientist - Monthly
Amazon,3.8,51T -2L,Data Scientist - Monthly Intern
Artech L.L.C.,4,57T -1L,Data Scientist - Monthly
VINAYA KUMAR,4.1,8L -44L,Data Scientist
(no)name,3.9,6L -13L,Data Scientist
RAKESH GROUP,3.8,12L -54L,Data Scientist
Siemens,4.1,41T -1L,Data Scientist - Monthly Intern
Kyoto Enviro Tech,4.3,4L -6L,Data Scientist
Synopsys,4.1,4L -1Cr,Data Scientist
Worley,3.7,5L -6L,Data Scientist
Petpooja,4.3,3L -5L,Data Scientist
Numerify,4,22L -32L,Data Scientist
QL Tech,4.6,26T -47T,Data Scientist - Monthly
Rubixe,4.1,3L -6L,Data Scientist
Sahara India Pariwar,3.4,11L -19L,Data Scientist
TM Systems,4,11T -33T,Data Scientist - Monthly
FOKAL,3.5,5L -18L,Data Scientist
Admit.me,4.4,20L -32L,Data Scientist
NEC Corporation India,3.9,7L -8L,Data Scientist
Aretove Technologies,3,9L -11L,Data Scientist
Srijan Technologies,4.4,9L -11L,Data Scientist
Tata Research Development and Design Centre,4,9L -14L,Data Scientist
Indian Institute of Technology Mandi,4.3,12T -41T,Data Scientist - Monthly
Orange Business,4,7L -14L,Data Scientist
Meru Mobility Tech,3.9,9L -11L,Data Scientist
Neewee,3,15T -17T,Data Scientist - Monthly Intern
Aegis,3.4,30T -3L,Data Scientist - Monthly
NutaNXT Technologies,4.8,8L -9L,Data Scientist
Drishya,3.4,7L -15L,Data Scientist
GetupForChange Services,3.7,67T -73T,Data Scientist - Monthly
MIQ Logistics,2.8,2L -11L,Data Scientist
Futurense Technologies,4.5,6L -9L,Data Scientist
IBM,4,$34T -$2L,Data Scientist
Western Digital,3.7,10L -17L,Data Scientist
OkCredit,4.1,3L -21L,Data Scientist
Gaurav,4,29T -84T,Data Scientist - Monthly
Development Credit Bank Limited,3.6,5L -15L,Data Scientist
Ciena,4.4,19L -25L,Data Scientist
West Pharmaceutical Services,3.5,16L -18L,Data Scientist
Rahul Industries,4,5L -7L,Data Scientist
Stemly,4,19L -28L,Data Scientist
Samsung India Electronics,3.7,2L -7L,Data Scientist
Tookitaki,4.5,7L -19L,Data Scientist
NorthOut,3.5,44T -61T,Data Scientist - Monthly
XYZ,3.7,25T -34T,Data Scientist - Monthly Intern
VertexBlue,4.5,24T -53T,Data Scientist - Monthly
F(x) Data Labs,4.8,32T -44T,Data Scientist - Monthly
Majorel,3.7,95T -1L,Data Scientist - Monthly
Sghi-Tech,4.2,3L -5L,Data Scientist
Johnson & Johnson,4.2,8L -54L,Data Scientist
JoulestoWatts Business Solutions,3.6,2L -9L,Data Scientist - Contractor
RxLogix Corporation,3,8L -17L,Data Scientist
Efftronics Systems,3.7,34T -38T,Data Scientist - Monthly
Ubique Systems,4.1,6L -10L,Data Scientist - Contractor
Fork Media,3.5,6L -7L,Data Scientist
Amdocs Development Centre India,4,5L -9L,Data Scientist
Tricon Infotech,4.3,14L -19L,Data Scientist
Bit Hub Technology,4.5,3L -5L,Data Scientist
"Vertiv, Inc.",3.7,7L -8L,Data Scientist
NeenOpal,4.2,14T -17T,Data Scientist - Monthly Intern
Disney | Star,4.1,20L -22L,Data Scientist
Shaw Academy,3.1,5L -29L,Data Scientist
Vishwakarma Institute of Technology,3.9,169 -1T,Data Scientist - Hourly
Bajaj Markets,4.2,9L -16L,Data Scientist
StoneX,3.8,19L -31L,Data Scientist
vElement,1.7,2L -3L,Data Scientist
Aptus Health,3.8,7L -13L,Data Scientist
Evoke Technologies,4,13L -17L,Data Scientist
RoundSqr,4.4,10L -25L,Data Scientist
Grazitti Interactive,4.1,24T -51T,Data Scientist - Monthly
Asian Paints,3.8,10L -11L,Data Scientist
Elucidata (MA),4.2,26T -28T,Data Scientist - Monthly Intern
Unbxd,4.1,21L -33L,Data Scientist
GE,4,643 -1T,Data Scientist - Hourly
Shell Energy Retail,4,3L -24L,Data Scientist
Provana,4,7L -7L,Data Scientist
Tata Consultancy Services,3.9,$6T -$9T,Data Scientist - Monthly
Sumyag,4.5,32T -70T,Data Scientist - Monthly Intern
Mindtree,4,9L -12L,Data Scientist - Contractor
Safe Security,4.2,10L -24L,Data Scientist
Innoplexus,4.3,30T -1L,Data Scientist - Monthly Intern
ZS Associates,3.8,19T -42T,Data Scientist - Monthly Intern
IceCream Labs,3.9,10T -27T,Data Scientist - Monthly Intern
Vyom Labs,3.5,27T -31T,Data Scientist - Monthly
VeeTechnologies,4,3L -6L,Data Scientist
Prescience Decision Solutions,4.7,13L -17L,Data Scientist
Prakshep,3.3,85T -1L,Data Scientist - Monthly
Postman,4.1,12L -16L,Data Scientist
Dew Solutions,4,33T -68T,Data Scientist - Monthly
Algonomy,3.8,13L -16L,Data Scientist
Unemployed Help Centre,3.9,1L -5L,Data Scientist
Tata Consultancy Services,3.9,8L -13L,Data Scientist
Axicorp GmbH,1.4,24T -79T,Data Scientist - Monthly
Arista Networks,4,97T -1L,Data Scientist - Monthly Intern
Airbnb,4.3,3L -10L,Data Scientist
Roadzen,4,12L -16L,Data Scientist
Convergytics,4.4,7L -13L,Data Scientist
Dassault Systemes,3.8,5L -11L,Data Scientist
Reliance Jio Infocomm,3.8,13L -23L,Data Scientist
Asquared IoT,4.5,6L -11L,Data Scientist
diwo,2.5,8L -9L,Data Scientist
RedDoorz,3.9,6L -9L,Data Scientist
AIEnterprise,4.3,7L -10L,Data Scientist
HackerEarth,3.9,1L -2L,Data Scientist - Monthly
CSIR,3.6,25T -33T,Data Scientist - Monthly
LivNSense,3.1,3L -4L,Data Scientist
SLL Info IT Services,3.7,36T -49T,Data Scientist - Monthly
Netflix,4.3,5L -10L,Data Scientist
Logitech,4.2,11T -12T,Data Scientist - Monthly Intern
LTI,3.8,39T -55T,Data Scientist - Monthly Intern
NovelSynth Soft Solutions,3.2,20T -22T,Data Scientist - Monthly Intern
Startup Germany,4.2,10L -12L,Data Scientist
ALTEN,3.4,7L -16L,Data Scientist
Xeco,1.7,3L -7L,Data Scientist
IVYTEL Technologies,4.2,5L -5L,Data Scientist
KAS Services,4.1,18L -32L,Data Scientist
Kissht,4.2,54T -63T,Data Scientist - Monthly
G2,4.5,16L -47L,Data Scientist
Hinduja Tech,3.7,8L -10L,Data Scientist
Jubilant FoodWorks,3.6,24L -31L,Data Scientist
Tyson Foods,3.5,14L -24L,Data Scientist
BRIDGEi2i,4,15L -16L,Data Scientist
Tibil Solutions,4.3,11L -12L,Data Scientist
Growth Guide,3,1L -1L,Data Scientist - Intern
Fractal,4.7,10L -18L,Data Scientist
NITS,3.5,20T -87T,Data Scientist - Monthly
Reliance Industries,3.9,3L -7L,Data Scientist - Intern
Blackbuck Insights,4.6,19T -44T,Data Scientist - Monthly
Flatworld Solutions,3.9,8L -9L,Data Scientist
Instamojo,3.8,23L -41L,Data Scientist
Accentue,4.2,5L -23L,Data Scientist
DataScientest,4.6,10T -22T,Data Scientist - Monthly Intern
SoulPage IT Solutions,4.5,5L -10L,Data Scientist
PhonePe,4.1,30L -73L,Data Scientist
Worley,3.7,20T -22T,Data Scientist - Monthly Intern
Radhakrishna Foodland,3.6,3L -3L,Data Scientist
KarmaLifeAI,4.2,8L -10L,Data Scientist
Zenon.ai,4.4,16T -44T,Data Scientist - Monthly
eKincare,3.8,6L -9L,Data Scientist
C2FO,4.2,40L -44L,Data Scientist
Kevit Technologies,4.3,17T -30T,Data Scientist - Monthly
Amlgo Labs,5,8L -12L,Data Scientist
Fresherworld.com,4,58T -6L,Data Scientist - Monthly Intern
Maybank,3.8,17L -20L,Data Scientist
Firstsource Solutions,3.4,6L -18L,Data Scientist
North American Corporation,4.1,10T -13T,Data Scientist - Monthly
KOGENTiX,3.9,1L -14L,Data Scientist
Bank of India,3.6,80T -1L,Data Scientist - Monthly
ProDigitalWorx,3.8,15L -21L,Data Scientist
Servian,4.3,9L -9L,Data Scientist
Gaian Solutions India,3.7,10L -13L,Data Scientist
GOFRUGAL Technologies,4.2,4L -13L,Data Scientist
Ingram Micro,3.9,20L -28L,Data Scientist
Credit Saison India,4.5,23L -26L,Data Scientist
Aspireal,3.5,8L -17L,Data Scientist
Self Opportunity,4.3,3L -19L,Data Scientist
Experian,4.2,12L -18L,Data Scientist
Data Sciences,4.1,66T -2L,Data Scientist - Monthly
Increff,4.3,10L -14L,Data Scientist
AnalytixLabs,4,43T -2L,Data Scientist - Monthly
Twitter,3.3,14L -37L,Data Scientist
Walmart Global Tech,3.9,56T -99T,Data Scientist - Monthly Intern
AON,3.9,25T -66T,Data Scientist - Monthly
DataVal Analytics,5,56T -65T,Data Scientist - Monthly
Intellipaat,3.2,21T -31T,Data Scientist - Monthly Intern
EMPLOYERS,3.8,17T -1L,Data Scientist - Monthly
OptiSol Business Solutions Private Limited,4.2,2L -8L,Data Scientist
no/one,3.8,278 -421,Data Scientist - Hourly Intern
ReNew Power,3.8,10L -12L,Data Scientist
Nones,3.9,50T -54T,Data Scientist - Monthly
ExcelR,4.2,31T -56T,Data Scientist - Monthly Intern
Radix Analytics,3.3,5L -5L,Data Scientist
Utopus Insights,3.8,9L -17L,Data Scientist
Predera,4.8,5L -8L,Data Scientist
DXFactor,4.9,4L -7L,Data Scientist
People Group,4.5,15T -17T,Data Scientist - Monthly Intern
Honeywell,4,68T -75T,Data Scientist - Monthly Intern
MyMoneyMantra,3.6,11L -14L,Data Scientist
Kapitus,3.1,12L -31L,Data Scientist
AppsTek,4.2,7L -8L,Data Scientist
HDFC Developers,3.3,13L -18L,Data Scientist
Condé Nast,3.6,11L -13L,Data Scientist
Shree Cement,3.7,25T -4L,Data Scientist - Monthly
NIIT,3.8,7L -12L,Data Scientist
Snapdeal,4.3,8L -16L,Data Scientist
SimplifyVMS,4.1,55T -60T,Data Scientist - Monthly
Johnson Controls,3.6,1L -9L,Data Scientist - Monthly
EZ Works,4.4,6L -13L,Data Scientist
Cognizer,4.2,10L -11L,Data Scientist
Bahwan CyberTek,4.1,8L -18L,Data Scientist
GainInsights Solutions,4,3L -11L,Data Scientist
Expedia Group,4.1,14L -28L,Data Scientist
Kreate,4,4L -5L,Data Scientist
Spocto Solutions,4.6,10L -15L,Data Scientist
Verdis,4.1,13L -20L,Data Scientist
Stancecode,4.4,10L -11L,Data Scientist
ExcelR,4.2,3L -4L,Data Scientist
Harsha Engineers Changodar Ahmedabad,3.8,39T -49T,Data Scientist - Monthly
IHS Markit,4.1,5L -16L,Data Scientist
IFF,3.8,9L -19L,Data Scientist
ABSAS Solutions,2.9,17T -30T,Data Scientist - Monthly
RxAdvance,3.1,10L -15L,Data Scientist
Axtria,3.5,10L -13L,Data Scientist
Wave Infosoft,4.2,6L -7L,Data Scientist
Demandbase,4.4,17L -20L,Data Scientist
Lead School (India),3.7,77T -1L,Data Scientist - Monthly
Eagle TK Infotech,4.5,6L -8L,Data Scientist
Stick Pool Club,4.6,10L -12L,Data Scientist
CreditVidya,4.1,7L -14L,Data Scientist
"U.S. District Court, Southern District of Ohio",4,35T -39T,Data Scientist - Monthly Intern
Reliance Retail,3.8,5L -7L,Data Scientist
Ushur,4.7,12L -14L,Data Scientist
KC Overseas Education,3.9,4L -7L,Data Scientist
Unisys,3.6,5L -19L,Data Scientist
Prismforce,4.9,12L -13L,Data Scientist
IBM,4,29T -66T,Data Scientist - Monthly Contractor
IIT Madras,4.5,12T -18T,Data Scientist - Monthly
College Board,3.7,6L -13L,Data Scientist
Not Listed,3.9,10L -12L,Data Scientist
Unknowns,3.8,25T -4L,Data Scientist - Monthly
Freelancer,4.2,6L -8L,Data Scientist
Other,4.1,1L -6L,Data Scientist
Quess,3.6,8L -8L,Data Scientist
Piramal Finance,4.2,15L -21L,Data Scientist
Fountain9,3.9,8L -17L,Data Scientist
Coditation Systems,3.7,44T -54T,Data Scientist - Monthly
ADP,4,8L -9L,Data Scientist
Sixth Energy Technologies,3.1,73T -94T,Data Scientist - Monthly
Halliburton,3.7,7L -10L,Data Scientist
DataMites,4.1,3L -8L,Data Scientist - Intern
Zigram,3.7,12L -23L,Data Scientist
Athena Global Technologies,4,8L -10L,Data Scientist
Tops Office Pros Business Services,4.8,5L -7L,Data Scientist
Apptware,4.6,19L -22L,Data Scientist
Histec Instalações e Montagens,3.6,8L -9L,Data Scientist
National Informatics Centre,4.1,77T -83T,Data Scientist - Monthly
Aryan Satellite,3.8,8L -9L,Data Scientist
Calpine Solutions,4.4,13L -15L,Data Scientist
Emagia,2.1,7L -8L,Data Scientist
CareerGuide.com,3.8,5T -5T,Data Scientist - Monthly Intern
Vauld,4.3,23L -25L,Data Scientist
Safehur,,4L -5L,Data Scientist
Unreal AI,4.1,10T -11T,Data Scientist - Monthly Intern
WorldQuant,4.6,60L -65L,Data Scientist
Retail Solutions,3.6,8L -9L,Data Scientist
NextGen Healthcare,3.4,8L -9L,Data Scientist
Cogoport,4.1,56T -60T,Data Scientist - Monthly Intern
Newbee,3,73T -80T,Data Scientist - Monthly
IHub IT Solutions,4.5,27T -29T,Data Scientist - Monthly Intern
TNB,4.1,11L -12L,Data Scientist
Thanks for the help,3.5,3L -3L,Data Scientist
33Infotech,,14T -16T,Data Scientist - Monthly
Excel Callnet,3.8,4L -5L,Data Scientist
Classic Auto Tubes,3.3,6L -6L,Data Scientist
Sify,3.8,10L -11L,Data Scientist
Codebugged AI,4.6,96 -103,Data Scientist - Hourly
Sky Quest,5,36T -38T,Data Scientist - Monthly Intern
Enlyft,4.9,12L -13L,Data Scientist - Contractor
Truecaller,4,1L -2L,Data Scientist - Monthly
OneMagnify,4.5,15L -16L,Data Scientist
Exalca Technologies,3.9,4L -4L,Data Scientist
Eli Lilly and Company,4.1,61T -65T,Data Scientist - Monthly Intern
Hindustan Petroleum,4.1,3L -3L,Data Scientist
Nitin kumar,4.3,4L -4L,Data Scientist - Monthly
G Raju & Co,4.3,11L -12L,Data Scientist
Symphony,3.8,15L -16L,Data Scientist
Overt Ideas & Solutions,4,3L -4L,Data Scientist
Quantum Phinance,4.2,34T -37T,Data Scientist - Monthly
Rihan Consultoria,,1L -1L,Data Scientist - Monthly
Schlesinger Group,3.2,9L -10L,Data Scientist
TVS Emerald,3.5,14L -15L,Data Scientist
nference,3.9,$1L -$1L,Data Scientist
House of Dipali,4.4,5L -5L,Data Scientist
Alfonso & Associates Consulting,4.4,35L -38L,Data Scientist
iQuanti,3.7,30T -33T,Data Scientist - Monthly Intern
Ashvini Magnets,2.7,4L -4L,Data Scientist
Tata Consultancy Services,3.9,$96T -$1L,Data Scientist
Alphecca Digital,5,4L -4L,Data Scientist
IHX,4.8,4L -5L,Data Scientist
Infobase,3.4,22L -23L,Data Scientist
JioSaavn,4,9L -9L,Data Scientist
Object Technology Solutions India,4.2,18L -20L,Data Scientist
Data Prophets,5,19T -21T,Data Scientist - Monthly
Zerve,3,12L -13L,Data Scientist
Intel Corporation,4.2,94T -1L,Data Scientist - Monthly
ShowTime Consulting,2.9,7L -7L,Data Scientist - Intern
GE Power,3.9,13L -14L,Data Scientist
Go Digital,2,6L -7L,Data Scientist
Ramus Musik,3.6,8L -9L,Data Scientist
Tradeindia.com - Infocom Network,4.3,4L -4L,Data Scientist
Ark Solutions,4.5,4L -4L,Data Scientist
Koo India,3.1,13L -15L,Data Scientist
GIMA,5,20T -22T,Data Scientist - Monthly
Wondrium,3.7,20T -22T,Data Scientist - Monthly
Belatrix,4.2,4L -4L,Data Scientist
Proadbot,5,10L -11L,Data Scientist
Quadrant 4 Systems,3.4,10L -11L,Data Scientist
Sysarks Technologies,4.5,29T -31T,Data Scientist - Monthly
San Diego Firefighters Federal Credit Union,4.4,4L -4L,Data Scientist
Evolent Health,3.8,16L -17L,Data Scientist
AXA XL,3.8,27L -29L,Data Scientist
Sun Group,3.3,4L -4L,Data Scientist
Arkin Systems,4,7L -8L,Data Scientist
Octro,3.9,39T -42T,Data Scientist - Monthly
Amazon,3.8,$9L -$10L,Data Scientist - Contractor
Microverse Automation,3.2,4L -4L,Data Scientist
IASRI,3.9,1L -1L,Data Scientist
yellow.ai,3.8,4L -4L,Data Scientist
A R M Surgical,5,10L -11L,Data Scientist
Seekho,4.6,6L -6L,Data Scientist
Ernst & Young,3.9,9L -10L,Data Scientist
Kushim,5,30T -33T,Data Scientist - Monthly
Acalvio,4,25L -26L,Data Scientist
Codevizor Technologies,5,36T -38T,Data Scientist - Monthly
Sushant M. Singh Associates,4.1,48T -52T,Data Scientist - Monthly
TELUS International,3.7,10L -11L,Data Scientist
SAI Info-Tech,3.4,2L -3L,Data Scientist
PokerStars,4,2L -2L,Data Scientist
Saama Technologies,4,£9L -£10L,Data Scientist
Kinarya Inovasi Mandiri,3,9L -10L,Data Scientist
Molex,3.6,37L -39L,Data Scientist
Global Tech Promoters,4.2,5L -5L,Data Scientist
Datalytics,4,49T -53T,Data Scientist - Monthly
Polestar Solutions & Services India,4.4,7L -8L,Data Scientist
Bharti Airtel,4.2,13L -14L,Data Scientist
Statlogic,,15L -17L,Data Scientist
Lakshmi Vilas Bank,3.5,30T -32T,Data Scientist - Monthly Contractor
Influxarena Technologies,4,9L -10L,Data Scientist
Trainity,3.3,3L -3L,Data Scientist - Intern
Bert Labs,4,$72T -$77T,Data Scientist
JarvisSoft Technology,4.1,5L -5L,Data Scientist
Prateek Group,4.3,38T -41T,Data Scientist - Monthly
Adobe,4.4,1L -1L,Data Scientist - Monthly
Yochana IT Solutions,4,9L -9L,Data Scientist
Directi,4.1,15L -17L,Data Scientist
Hans Im Glück Burgergrill and Bar,2.9,10L -11L,Data Scientist
Qurhealth,3.6,5L -6L,Data Scientist
Toastmasters International,3.9,8L -9L,Data Scientist
Prudent Software Services,4.7,20T -22T,Data Scientist - Monthly Intern
Tata Capital,3.9,11L -12L,Data Scientist
SdV,4.4,5L -5L,Data Scientist
ThirdLove,3.5,4L -5L,Data Scientist
AuthBase,2.9,8L -9L,Data Scientist
Populous Empowerment Network,4.5,1L -1L,Data Scientist - Monthly
GGS Engineering Services,3.3,7L -7L,Data Scientist
"Dr. Ratan Tiwari, MD",2.6,14L -15L,Data Scientist
Rupeek,3.8,21L -23L,Data Scientist
Freelance.com,4.1,3L -4L,Data Scientist
Infinite Locus,,48T -52T,Data Scientist - Monthly
GSPANN Technologies,3.9,8L -9L,Data Scientist
AfyBiz Consulting,1.8,96T -1L,Data Scientist - Monthly
The City Bank,4,50L -54L,Data Scientist
Rohde & Schwarz,4.1,38L -42L,Data Scientist
Bajaj Auto,3.6,38T -42T,Data Scientist - Monthly
IDRBT,4.1,3L -3L,Data Scientist
Rahul Industries,4,56T -61T,Data Scientist
PVHardware,4.5,7L -7L,Data Scientist
Fractal Systems,2.4,21L -23L,Data Scientist
Sharecat Solutions,4,30L -33L,Data Scientist
Bain & Company,4.5,€44T -€48T,Data Scientist - Monthly
Tech Data,3.7,24T -26T,Data Scientist - Monthly
Aligned Consulting Services,,8L -9L,Data Scientist
Rolls-Royce Power Systems,3.8,17L -18L,Data Scientist
CIERA MICRO TECHNOLOGIES,4,30T -33T,Data Scientist - Monthly
TAG Solutions,3.6,15L -16L,Data Scientist
Tesla,3.6,16L -17L,Data Scientist
Kiran Jewels,4,49L -53L,Data Scientist
GlobalData,3.4,8L -9L,Data Scientist - Contractor
Bestintown Analytics,4.5,23T -26T,Data Scientist - Monthly Intern
Net Developer,3.9,33T -37T,Data Scientist - Monthly
Salim Group,3.5,22T -24T,Data Scientist - Monthly Contractor
Yubi,3.3,38T -42T,Data Scientist - Monthly Intern
Ola,3,10L -10L,Data Scientist
Biosense Technologies,3.6,5L -6L,Data Scientist
TNG Innovation Labs,4.5,24T -26T,Data Scientist - Monthly Intern
AVL,3.9,26T -28T,Data Scientist - Monthly Intern
Edvak,4.9,13L -15L,Data Scientist
Hashworks,3.2,13L -14L,Data Scientist - Monthly
Delhivery,3.6,30T -33T,Data Scientist - Monthly Intern
Chandu,4.6,48T -52T,Data Scientist - Monthly
Persistent Networks,4.5,12T -13T,Data Scientist - Monthly Intern
Atkins,4,16L -17L,Data Scientist
Trafigura,3.6,66L -72L,Data Scientist
Navi Technologies,2.8,12L -13L,Data Scientist - Contractor
Voiceback Analytics,4,5L -5L,Data Scientist
Xoriant,3.8,3L -3L,Data Scientist - Intern
ARS Computer und Consulting,3.4,96T -1L,Data Scientist
Soham (India),3.9,29T -31T,Data Scientist - Monthly
JDA Worldwide,2.8,8L -9L,Data Scientist
DataFactZ,3.9,3L -4L,Data Scientist
Symphony Teleca,3.9,8L -9L,Data Scientist
Protium,3.9,11L -13L,Data Scientist
ideaForge,3.7,2L -2L,Data Scientist
Artigiani,5,7L -8L,Data Scientist
Social Prachar,3.8,9T -9T,Data Scientist - Monthly Intern
Opia Labs,3.6,21L -23L,Data Scientist
Klaim,5,6L -6L,Data Scientist
GoSource,3.3,11T -12T,Data Scientist - Monthly
Alpinia Technologies,4,8L -9L,Data Scientist
Scaler Academy,4,29T -31T,Data Scientist - Monthly
Munich Re,4.2,15L -16L,Data Scientist
Pythonmate,4.1,6L -7L,Data Scientist
Numerator,4.2,5L -5L,Data Scientist
SelfEmployed.com,4.4,29T -32T,Data Scientist - Monthly
Pepperfry,3.4,19L -21L,Data Scientist
Adecco,3.7,14L -14L,Data Scientist - Contractor
Powerweave,4.2,11L -12L,Data Scientist
Indicus Software,3.2,3L -3L,Data Scientist
Innoclique Congitive Technologies,1,14L -15L,Data Scientist
Reckon Data Solutions,,20T -22T,Data Scientist - Monthly
xyz (India),4.2,9L -10L,Data Scientist
Sysnik IT Solutions,4,6L -7L,Data Scientist
AlphaSights,3.5,10T -10T,Data Scientist - Monthly Contractor
KPMG,3.8,5L -5L,Data Scientist - Contractor
Codemasters,4,22T -23T,Data Scientist - Monthly
iD Tech Camps,4.1,20T -21T,Data Scientist - Monthly
Hidden Brains InfoTech,4.2,15L -17L,Data Scientist
IIT Delhi,4.4,49T -53T,Data Scientist - Monthly
Cognerium Robotic Labs,2.6,18T -20T,Data Scientist - Monthly
NSH Corp,2.9,5L -6L,Data Scientist
Anaplan,3.4,4L -4L,Data Scientist
Ravid & Associates,4.1,9L -10L,Data Scientist
Vedity Software,4.8,3L -3L,Data Scientist
Walgreens,3.1,25L -27L,Data Scientist
Taskbob,5,22L -24L,Data Scientist
Chegg,4.1,5L -6L,Data Scientist
CENTURYLINK,3.5,14L -15L,Data Scientist
EnrichAI,4.8,10T -11T,Data Scientist - Monthly Intern
Lepton Software Export & Research,3.7,29L -31L,Data Scientist
KeyValue Software Systems,4.8,10L -10L,Data Scientist
Prakat Solutions,4.6,7L -7L,Data Scientist - Contractor
Wipro Digital,3.8,10L -10L,Data Scientist - Contractor
QL2,2.7,20T -22T,Data Scientist - Monthly
Ivanti,3.7,13L -14L,Data Scientist
Digital Trainee,4.2,20L -22L,Data Scientist
Falabella India,3.6,21L -23L,Data Scientist
Navriti Technologies,4,22T -24T,Data Scientist - Monthly Intern
Infogen Labs,4.5,40T -44T,Data Scientist - Monthly Intern
iXion Services,2.7,44T -48T,Data Scientist - Monthly
Cerebulb,4.4,4L -4L,Data Scientist
Urban Development and Housing Department,3,7L -8L,Data Scientist
Toptal,3.8,1T -2T,Data Scientist - Hourly
Arya Solution,4.4,6L -6L,Data Scientist
Bio-Techne,3.7,50T -54T,Data Scientist - Monthly
New York Times,3.7,45L -49L,Data Scientist
Corner Stone Solution,3.5,21T -23T,Data Scientist - Monthly Intern
Propellor,5,8L -8L,Data Scientist
