Company Name,Rating,Average Salary,Role
Decimal Point Analytics,4.3,"12,00,000",Data Scientist
IQVIA,4,"9,10,000",Data Scientist
Nones,3.9,"7,65,026",Data Scientist
Sprinklr,3.6,"17,32,982",Data Scientist
Vodafone,4,"9,88,804",Data Scientist
XYZ,3.8,"5,75,000",Data Scientist
Dell Technologies,4.2,"16,69,550",Data Scientist
Algoscale,3.5,"6,10,853",Data Scientist
Robert Bosch India,4.1,"12,77,520",Data Scientist
Octro,3.9,"8,81,058",Data Scientist
Aaum Research and Analytics,3.6,"5,00,598",Data Scientist
eClerx,3.6,"9,03,334",Data Scientist
Intellect Design Arena,4.1,"10,24,193",Data Scientist
Wells Fargo,3.7,"19,00,687",Data Scientist
Enquero,4,"9,46,769",Data Scientist
Adobe,4.4,"24,00,000",Data Scientist
Quadratic Insights,4,"6,12,556",Data Scientist
KPMG,3.8,"12,00,000",Data Scientist
Mphasis,3.6,"10,38,314",Data Scientist
Zee Entertainment Enterprises Ltd.,3.7,"22,00,000",Data Scientist
Curl Analytics,4.6,"12,00,000",Data Scientist
CARS24.com,4.2,"12,00,000",Data Scientist
Zensar Technologies,3.9,"12,29,032",Data Scientist
Kotak Mahindra Bank,3.7,"9,00,000",Data Scientist
Claim Genius,3.3,"14,09,550",Data Scientist
Bepec Solutions,4.2,"6,40,000",Data Scientist
Valiance Solutions,4.4,"10,05,636",Data Scientist
American Express,4.2,"18,99,534",Data Scientist
Publicis Sapient,3.8,"16,66,492",Data Scientist
Abzooba,4.7,"11,00,000",Data Scientist
Sutherland,3.7,"7,19,544",Data Scientist
SPi Global,3.6,"7,93,182",Data Scientist
Legato Health Technologies,4,"13,02,076",Data Scientist
Teleperformance,4.2,"8,00,000",Data Scientist
Noodle.ai,3.8,"16,84,096",Data Scientist
Quantiphi,3.6,"9,54,907",Data Scientist
HDFC Standard Life Insurance,3.8,"12,36,059",Data Scientist
Virtusa,3.8,"6,18,847",Data Scientist
R Systems,3.9,"17,75,000",Data Scientist
MAERSK,4.2,"23,20,770",Data Scientist
Accenture,4,"38,962",Data Scientist - Monthly Intern
Jotter,2.9,"8,86,987",Data Scientist
SLB,4,"19,69,880",Data Scientist
Blackcoffer,4.7,"6,604",Data Scientist - Monthly Intern
Happiest Minds Technologies,4.3,"10,66,386",Data Scientist
IELEKTRON TECHNOLOGIES ENGINEERING PRIVATE LIMITED,4.4,"7,00,000",Data Scientist
Target,3.6,"13,38,619",Data Scientist
ICICI Bank,3.7,"13,66,385",Data Scientist
o9 Solutions,4,"12,00,000",Data Scientist
Episource,3.7,"11,35,503",Data Scientist
XYZ,3.7,"7,11,245",Data Scientist
GEP,3.9,"11,00,000",Data Scientist
Data Sutram,3.8,"6,00,000",Data Scientist
RBL Bank,3.6,"14,00,000",Data Scientist
Lowe's Home Improvement,3.5,"20,00,000",Data Scientist
Innodatatics,4.3,"6,46,587",Data Scientist
Amdocs,4,"6,66,385",Data Scientist
CrowdANALYTIX,4.6,"6,94,297",Data Scientist
Google,4.4,"10,00,000",Data Scientist - Intern
The Sparks Foundation,3.8,"3,68,188",Data Scientist - Intern
Freelancer,4.2,"7,14,647",Data Scientist
Caterpillar,4,"12,91,759",Data Scientist
GE,4,"12,01,228",Data Scientist
IBM,4,"42,038",Data Scientist - Monthly Intern
MakeMyTrip,4.2,"13,32,771",Data Scientist
Xalt Analytics,1,"5,00,000",Data Scientist
GlobusSoft,4.4,"3,60,000",Data Scientist
Bharat Light & Power,4.2,"8,96,616",Data Scientist
LinkedIn,4.4,"26,33,808",Data Scientist
L&T Finance,3.7,"8,65,716",Data Scientist
LatentView Analytics,4.1,"9,46,769",Data Scientist
Kyndryl,3.8,"20,00,000",Data Scientist
Times Internet,4.2,"28,00,506",Data Scientist
Flip Robo,4.4,"5,00,000",Data Scientist
HighRadius,3.7,"10,00,000",Data Scientist
Persistent Systems,4,"9,00,000",Data Scientist
Knowledge Lens,4.3,"11,00,000",Data Scientist
KPIT Technologies,3.8,"11,00,000",Data Scientist
Apexon,4,"11,86,094",Data Scientist
Franklin Templeton Investments,3.9,"25,47,870",Data Scientist
EMPLOYERS,3.8,"6,13,536",Data Scientist
Algo8.ai,3.5,"7,52,353",Data Scientist
Loylty Rewardz Mngt,3.8,"11,59,025",Data Scientist
Neustar,4.3,"31,07,000",Data Scientist
Verisk,3.8,"6,85,126",Data Scientist
AlmaBetter,4.2,"6,23,094",Data Scientist
Innodatatics,4.3,"10,284",Data Scientist - Monthly Intern
Piramal Enterprises,3.8,"13,50,000",Data Scientist
Wns Global Services,3.5,"7,60,000",Data Scientist
TransOrg Analytics,3.1,"9,09,677",Data Scientist
McKinsey & Company,4.3,"23,13,732",Data Scientist
Eaton,3.9,"12,19,277",Data Scientist
Gartner,4.1,"18,69,761",Data Scientist
Michelin,4.1,"11,88,978",Data Scientist
Amazon,3.8,"85,667",Data Scientist - Monthly
Course5 Intelligence,4.4,"11,76,875",Data Scientist
Aera Technology,3.5,"17,10,000",Data Scientist
Webtunix,4.5,"59,171",Data Scientist - Monthly
Vodafone Idea,3.9,"21,58,653",Data Scientist
HTC Global Services,3.6,"6,38,814",Data Scientist
Bristlecone,4.1,"77,766",Data Scientist - Monthly
Other,4.1,"6,82,012",Data Scientist
S&P Global,4.1,"13,03,000",Data Scientist
Akaike Technologies,4.8,"8,58,696",Data Scientist
Zomato,3.9,"18,95,783",Data Scientist
Mahindra,4,"10,84,031",Data Scientist
T-Systems,4,"13,30,481",Data Scientist
ParallelDots,4.3,"9,12,330",Data Scientist
Applied Materials,4.1,"16,37,399",Data Scientist
HSBC,3.8,"11,84,275",Data Scientist
Rakuten,3.7,"19,60,000",Data Scientist
Blue Yonder,4.1,"20,23,536",Data Scientist
CRED,4.4,"31,27,627",Data Scientist
Aidetic,4.2,"6,50,000",Data Scientist
TVS Credit Services,4.2,"7,98,232",Data Scientist
TVS Motor Company,3.8,"12,00,000",Data Scientist
Arya.ai,4.2,"8,86,987",Data Scientist
Hinduja Global Solutions,3.5,"12,20,794",Data Scientist
VMware,4.3,"21,00,000",Data Scientist
BYJU'S,3.3,"6,15,000",Data Scientist
CASHe,3.6,"11,34,564",Data Scientist
UPL,4.3,"17,00,386",Data Scientist
Synechron,4.3,"11,40,412",Data Scientist
Idexcel,4,"5,37,917",Data Scientist
Karvy Group,3.3,"7,26,820",Data Scientist
Tableau Software,3.8,"6,66,385",Data Scientist
Robert Bosch,4.2,"12,24,596",Data Scientist
Loyalytics Consulting,4.1,"9,50,000",Data Scientist
Shadowfax Technologies,4.2,"20,81,693",Data Scientist
DONE by NONE,4,"20,817",Data Scientist - Monthly Intern
Nokia,4.2,"17,26,765",Data Scientist
Info Edge,4,"20,00,000",Data Scientist
Tech Data,3.7,"1,00,000",Data Scientist - Monthly
nference,3.9,"24,51,753",Data Scientist
ADP,4,"10,00,000",Data Scientist
First Student,3.9,"41,533",Data Scientist - Monthly Intern
Renault Nissan Technology & Business Centre,3.7,"20,50,027",Data Scientist
NDS InfoServ,4.9,"11,10,642",Data Scientist
FlyNava Technologies,3.8,"42,640",Data Scientist - Monthly
Flip Robo,4.4,"3,18,468",Data Scientist - Intern
Freelancer,4.2,"7,00,126",Data Scientist
Indium Software,4.2,"7,11,245",Data Scientist
Coforge,3.9,"16,86,280",Data Scientist
WNS,3.5,"8,40,152",Data Scientist
GE HealthCare,4.3,"16,27,727",Data Scientist
MetLife,3.9,"8,69,777",Data Scientist
SG Analytics,3.7,"8,63,375",Data Scientist
Aptus Data Labs,4.2,"7,99,493",Data Scientist
Hexaware Technologies,3.8,"10,25,385",Data Scientist
Bidgely,4,"18,21,427",Data Scientist
Square Panda,4,"7,31,044",Data Scientist
Apple,4.2,"8,68,188",Data Scientist
Altimetrik,4.1,"6,83,187",Data Scientist
HARMAN,3.9,"16,38,709",Data Scientist
FICO,4.1,"17,61,790",Data Scientist
Rolls-Royce,3.9,"14,71,917",Data Scientist
Professional Data Analysts,4.1,"8,64,586",Data Scientist
Money View,4.4,"15,47,243",Data Scientist
Innowatts,3.1,"11,00,000",Data Scientist
QuantZig,4.6,"9,55,404",Data Scientist
Tata Technologies,3.7,"7,33,286",Data Scientist
ShareChat,3.7,"24,45,582",Data Scientist
Mbb Labs,3.5,"14,58,896",Data Scientist
Credit Suisse,3.8,"17,00,355",Data Scientist
Turing,4,"11,00,000",Data Scientist
Freshworks,3.9,"8,71,506",Data Scientist
Cerner,3.6,"9,06,635",Data Scientist
L&T Technology Services,3.4,"7,36,241",Data Scientist
ZEE5,3.1,"18,73,024",Data Scientist
Molecular Connections,3.9,"5,76,648",Data Scientist
Brane Enterprises (nslhub),3.4,"16,91,667",Data Scientist
Ecom Express,3.9,"9,25,000",Data Scientist
NSHM Knowledge Campus,3.4,"5,30,780",Data Scientist
Zendrive,4.4,"19,18,490",Data Scientist
Internshala,3.8,"6,11,225",Data Scientist
Apar Technologies,3.7,"8,47,500",Data Scientist
UST,3.9,"6,17,487",Data Scientist
Glance,3.8,"18,50,000",Data Scientist
Analytics Vidhya,4,"8,22,659",Data Scientist
Optum Global Solutions India,4.2,"14,73,261",Data Scientist
FlexiLoans Technologies,3.8,"8,30,000",Data Scientist
Morningstar,4.1,"10,50,000",Data Scientist
Tata,4.1,"11,55,321",Data Scientist
Vidooly Media Tech,4,"16,863",Data Scientist - Monthly
ExxonMobil,3.2,"1,26,966",Data Scientist - Monthly
Larsen & Toubro,3.8,"69,620",Data Scientist - Monthly
None Such Farm,3.9,"7,65,000",Data Scientist
Head Digital Works,4,"12,81,048",Data Scientist
YASH Technologies,3.8,"6,73,154",Data Scientist
Swiss Re,4.1,"15,15,536",Data Scientist
DeepTek Medical Imaging,4.3,"8,20,000",Data Scientist
Concentrix,4.1,"5,90,000",Data Scientist
Tata Consultancy Services,3.9,"7,03,680",Data Scientist - Contractor
Veracitiz Solution,3.8,"5,08,621",Data Scientist
Kaleidofin,3.6,"12,25,112",Data Scientist
Unified Healthcare Group,3.9,"15,51,808",Data Scientist
Standard Chartered Bank,3.9,"16,33,500",Data Scientist
SigTuple,3.6,"24,50,443",Data Scientist
Ashok Leyland,4.1,"14,84,866",Data Scientist
UniQreate,1.8,"5,35,666",Data Scientist
TCG Digital,4.1,"15,73,861",Data Scientist
Everlytics,3.1,"4,23,893",Data Scientist
Lido,2.8,"12,29,032",Data Scientist
